"name","region","date","value","value_daily"
"cases","Alberta","2022-11-06","615163","138"
"cases","Alberta","2022-11-07","615338","175"
"cases","Alberta","2022-11-08","615568","230"
"cases","Alberta","2022-11-09","615749","181"
"cases","Alberta","2022-11-10","615990","241"
"cases","Alberta","2022-11-11","616140","150"
"cases","Alberta","2022-11-12","616338","198"
"cases","Alberta","2022-11-13","616498","160"
"cases","Alberta","2022-11-14","616675","177"
"cases","Alberta","2022-11-15","616935","260"
"cases","Alberta","2022-11-16","617179","244"
"cases","Alberta","2022-11-17","617353","174"
"cases","Alberta","2022-11-18","617508","155"
"cases","Alberta","2022-11-19","617715","207"
"cases","Alberta","2022-11-20","617844","129"
"cases","Alberta","2022-11-21","618031","187"
"cases","Alberta","2022-11-22","618212","181"
"cases","Alberta","2022-11-23","618488","276"
"cases","Alberta","2022-11-24","618691","203"
"cases","Alberta","2022-11-25","618898","207"
"cases","Alberta","2022-11-26","619083","185"
"cases","Alberta","2022-11-27","619217","134"
"cases","Alberta","2022-11-28","619345","128"
"cases","British Columbia","2022-11-06","388174","64"
"cases","British Columbia","2022-11-07","388244","70"
"cases","British Columbia","2022-11-08","388318","74"
"cases","British Columbia","2022-11-09","388396","78"
"cases","British Columbia","2022-11-10","388472","76"
"cases","British Columbia","2022-11-11","388534","62"
"cases","British Columbia","2022-11-12","388594","60"
"cases","British Columbia","2022-11-13","388655","61"
"cases","British Columbia","2022-11-14","388710","55"
"cases","British Columbia","2022-11-15","388800","90"
"cases","British Columbia","2022-11-16","388872","72"
"cases","British Columbia","2022-11-17","388936","64"
"cases","British Columbia","2022-11-18","389027","91"
"cases","British Columbia","2022-11-19","389092","65"
"cases","British Columbia","2022-11-20","389167","75"
"cases","British Columbia","2022-11-21","389273","106"
"cases","British Columbia","2022-11-22","389355","82"
"cases","British Columbia","2022-11-23","389427","72"
"cases","British Columbia","2022-11-24","389534","107"
"cases","British Columbia","2022-11-25","389621","87"
"cases","British Columbia","2022-11-26","389696","75"
"cases","Manitoba","2022-11-06","152072","0"
"cases","Manitoba","2022-11-07","152072","0"
"cases","Manitoba","2022-11-08","152072","0"
"cases","Manitoba","2022-11-09","152072","0"
"cases","Manitoba","2022-11-10","152072","0"
"cases","Manitoba","2022-11-11","152072","0"
"cases","Manitoba","2022-11-12","152345","273"
"cases","Manitoba","2022-11-13","152345","0"
"cases","Manitoba","2022-11-14","152345","0"
"cases","Manitoba","2022-11-15","152345","0"
"cases","Manitoba","2022-11-16","152345","0"
"cases","Manitoba","2022-11-17","152345","0"
"cases","Manitoba","2022-11-18","152345","0"
"cases","Manitoba","2022-11-19","152657","312"
"cases","Manitoba","2022-11-20","152657","0"
"cases","Manitoba","2022-11-21","152657","0"
"cases","Manitoba","2022-11-22","152657","0"
"cases","Manitoba","2022-11-23","152657","0"
"cases","Manitoba","2022-11-24","152657","0"
"cases","Manitoba","2022-11-25","152657","0"
"cases","Manitoba","2022-11-26","152657","0"
"cases","Manitoba","2022-11-27","152657","0"
"cases","Manitoba","2022-11-28","152657","0"
"cases","Manitoba","2022-11-29","152657","0"
"cases","Manitoba","2022-11-30","152657","0"
"cases","Manitoba","2022-12-01","152657","0"
"cases","Manitoba","2022-12-02","152657","0"
"cases","Manitoba","2022-12-03","152657","0"
"cases","Manitoba","2022-12-04","152657","0"
"cases","Manitoba","2022-12-05","152657","0"
"cases","Manitoba","2022-12-06","152657","0"
"cases","Manitoba","2022-12-07","152657","0"
"cases","Manitoba","2022-12-08","152657","0"
"cases","Manitoba","2022-12-09","152657","0"
"cases","Manitoba","2022-12-10","152657","0"
"cases","Manitoba","2022-12-11","152657","0"
"cases","Manitoba","2022-12-12","152657","0"
"cases","Manitoba","2022-12-13","152657","0"
"cases","Manitoba","2022-12-14","152657","0"
"cases","Manitoba","2022-12-15","152657","0"
"cases","Manitoba","2022-12-16","152657","0"
"cases","Manitoba","2022-12-17","152657","0"
"cases","Manitoba","2022-12-18","152657","0"
"cases","Manitoba","2022-12-19","152657","0"
"cases","Manitoba","2022-12-20","152657","0"
"cases","Manitoba","2022-12-21","152657","0"
"cases","Manitoba","2022-12-22","152657","0"
"cases","Manitoba","2022-12-23","152657","0"
"cases","Manitoba","2022-12-24","152657","0"
"cases","Manitoba","2022-12-25","152657","0"
"cases","Manitoba","2022-12-26","152939","282"
"cases","New Brunswick","2022-11-06","81269","0"
"cases","New Brunswick","2022-11-07","81269","0"
"cases","New Brunswick","2022-11-08","81269","0"
"cases","New Brunswick","2022-11-09","81269","0"
"cases","New Brunswick","2022-11-10","81269","0"
"cases","New Brunswick","2022-11-11","81269","0"
"cases","New Brunswick","2022-11-12","81787","518"
"cases","New Brunswick","2022-11-13","81787","0"
"cases","New Brunswick","2022-11-14","81787","0"
"cases","New Brunswick","2022-11-15","81787","0"
"cases","New Brunswick","2022-11-16","81787","0"
"cases","New Brunswick","2022-11-17","81787","0"
"cases","New Brunswick","2022-11-18","81787","0"
