"name","region","date","value","value_daily"
"vaccine_administration_dose_3","Alberta","2022-11-06","1774853","21663"
"vaccine_administration_dose_3","British Columbia","2022-11-06","2874794","44034"
"vaccine_administration_dose_3","Manitoba","2022-11-06","631756","6001"
"vaccine_administration_dose_3","New Brunswick","2022-11-06","405229","1702"
"vaccine_administration_dose_3","Newfoundland and Labrador","2022-11-06","305655","1744"
"vaccine_administration_dose_3","Northwest Territories","2022-11-06","18921","113"
"vaccine_administration_dose_3","Nova Scotia","2022-11-06","547956","4023"
"vaccine_administration_dose_3","Nunavut","2022-11-06","15946","70"
"vaccine_administration_dose_3","Ontario","2022-11-06","7604073","43457"
"vaccine_administration_dose_3","Prince Edward Island","2022-11-06","85909","0"
"vaccine_administration_dose_3","Saskatchewan","2022-11-06","519872","6423"
"vaccine_administration_dose_3","Yukon","2022-11-06","21289","183"
