"name","region","date","value","value_daily"
"deaths","Alberta","2022-11-06","5047","0"
"deaths","Alberta","2022-11-07","5093","46"
"deaths","Alberta","2022-11-08","5093","0"
"deaths","Alberta","2022-11-09","5093","0"
"deaths","Alberta","2022-11-10","5093","0"
"deaths","Alberta","2022-11-11","5093","0"
"deaths","Alberta","2022-11-12","5093","0"
"deaths","Alberta","2022-11-13","5093","0"
"deaths","Alberta","2022-11-14","5137","44"
"deaths","Alberta","2022-11-15","5137","0"
"deaths","Alberta","2022-11-16","5137","0"
"deaths","Alberta","2022-11-17","5137","0"
"deaths","Alberta","2022-11-18","5137","0"
"deaths","Alberta","2022-11-19","5137","0"
"deaths","Alberta","2022-11-20","5137","0"
"deaths","Alberta","2022-11-21","5177","40"
"deaths","Alberta","2022-11-22","5177","0"
"deaths","Alberta","2022-11-23","5177","0"
"deaths","Alberta","2022-11-24","5177","0"
"deaths","Alberta","2022-11-25","5177","0"
"deaths","Alberta","2022-11-26","5177","0"
"deaths","Alberta","2022-11-27","5177","0"
"deaths","Alberta","2022-11-28","5216","39"
"deaths","British Columbia","2022-11-06","4552","0"
"deaths","British Columbia","2022-11-07","4552","0"
"deaths","British Columbia","2022-11-08","4552","0"
"deaths","British Columbia","2022-11-09","4552","0"
"deaths","British Columbia","2022-11-10","4552","0"
"deaths","British Columbia","2022-11-11","4552","0"
"deaths","British Columbia","2022-11-12","4607","55"
"deaths","British Columbia","2022-11-13","4607","0"
"deaths","British Columbia","2022-11-14","4607","0"
"deaths","British Columbia","2022-11-15","4607","0"
"deaths","British Columbia","2022-11-16","4607","0"
"deaths","British Columbia","2022-11-17","4607","0"
"deaths","British Columbia","2022-11-18","4607","0"
"deaths","British Columbia","2022-11-19","4642","35"
"deaths","British Columbia","2022-11-20","4642","0"
"deaths","British Columbia","2022-11-21","4642","0"
"deaths","British Columbia","2022-11-22","4642","0"
"deaths","British Columbia","2022-11-23","4642","0"
"deaths","British Columbia","2022-11-24","4642","0"
"deaths","British Columbia","2022-11-25","4642","0"
"deaths","British Columbia","2022-11-26","4680","38"
"deaths","Manitoba","2022-11-06","2256","0"
"deaths","Manitoba","2022-11-07","2256","0"
"deaths","Manitoba","2022-11-08","2256","0"
"deaths","Manitoba","2022-11-09","2256","0"
"deaths","Manitoba","2022-11-10","2256","0"
"deaths","Manitoba","2022-11-11","2256","0"
"deaths","Manitoba","2022-11-12","2261","5"
"deaths","Manitoba","2022-11-13","2261","0"
"deaths","Manitoba","2022-11-14","2261","0"
"deaths","Manitoba","2022-11-15","2261","0"
"deaths","Manitoba","2022-11-16","2261","0"
"deaths","Manitoba","2022-11-17","2261","0"
"deaths","Manitoba","2022-11-18","2261","0"
"deaths","Manitoba","2022-11-19","2277","16"
"deaths","New Brunswick","2022-11-06","599","0"
"deaths","New Brunswick","2022-11-07","599","0"
"deaths","New Brunswick","2022-11-08","599","0"
"deaths","New Brunswick","2022-11-09","599","0"
"deaths","New Brunswick","2022-11-10","599","0"
"deaths","New Brunswick","2022-11-11","599","0"
"deaths","New Brunswick","2022-11-12","603","4"
"deaths","New Brunswick","2022-11-13","603","0"
"deaths","New Brunswick","2022-11-14","603","0"
"deaths","New Brunswick","2022-11-15","603","0"
"deaths","New Brunswick","2022-11-16","603","0"
"deaths","New Brunswick","2022-11-17","603","0"
"deaths","New Brunswick","2022-11-18","603","0"
"deaths","New Brunswick","2022-11-19","609","6"
"deaths","New Brunswick","2022-11-20","609","0"
"deaths","New Brunswick","2022-11-21","609","0"
"deaths","New Brunswick","2022-11-22","609","0"
"deaths","New Brunswick","2022-11-23","609","0"
"deaths","New Brunswick","2022-11-24","609","0"
"deaths","New Brunswick","2022-11-25","609","0"
"deaths","New Brunswick","2022-11-26","615","6"
"deaths","Newfoundland and Labrador","2022-11-06","258","0"
"deaths","Newfoundland and Labrador","2022-11-07","258","0"
"deaths","Newfoundland and Labrador","2022-11-08","258","0"
"deaths","Newfoundland and Labrador","2022-11-09","267","9"
"deaths","Newfoundland and Labrador","2022-11-10","267","0"
"deaths","Newfoundland and Labrador","2022-11-11","267","0"
"deaths","Newfoundland and Labrador","2022-11-12","267","0"
"deaths","Newfoundland and Labrador","2022-11-13","267","0"
"deaths","Newfoundland and Labrador","2022-11-14","267","0"
"deaths","Newfoundland and Labrador","2022-11-15","267","0"
"deaths","Newfoundland and Labrador","2022-11-16","270","3"
"deaths","Newfoundland and Labrador","2022-11-17","270","0"
"deaths","Newfoundland and Labrador","2022-11-18","270","0"
"deaths","Newfoundland and Labrador","2022-11-19","270","0"
"deaths","Newfoundland and Labrador","2022-11-20","270","0"
"deaths","Newfoundland and Labrador","2022-11-21","270","0"
"deaths","Newfoundland and Labrador","2022-11-22","270","0"
"deaths","Newfoundland and Labrador","2022-11-23","273","3"
